forecast_id,model,information_set,forecast_type,r2_oos_vs_har,qlike_gain_vs_har,n,har_coef_given_model,har_t_given_model,har_p_given_model,model_coef_given_har,model_t_given_har,model_p_given_har,rank_model_adds_to_har,rank_har_adds_to_model
pca__HAR_O__log__rolling,PCA,HAR+Option,individual,0.400085523484011,0.0750675752318298,155,-0.793210558729876,-5.68088743088163,6.62718758989876e-08,1.21772366417923,6.96975013078341,9.04659573974607e-11,13,5
rf__HAR_OM__log__rolling,Random Forest,HAR+Macro+Option,individual,0.80385328572227,0.0370791384055122,155,0.0371698370468382,0.954421967128227,0.341385475971429,0.934609148305014,6.8671527057525,1.56885131950709e-10,14,23
rf__HAR__log__rolling,Random Forest,HAR,individual,0.786403550832928,-0.0333702291899282,155,0.056063637887933,1.40587400404786,0.161802404275847,0.836060580695749,5.8519423778544,2.88373183430336e-08,15,22
pca__HAR_OM__log__rolling,PCA,HAR+Macro+Option,individual,0.182589155602187,0.0636615443898764,155,-0.710171431342311,-4.37108837831143,2.28091537899335e-05,0.940590723173794,5.4276868243451,2.20990579975751e-07,16,8
combo_equal_weight_pca_across_har_augmented_datasets_log_rolling,PCA EW,Multiple,method_EW,0.0639699327006873,0.0622806791196804,155,-1.70833100089619,-4.93322724144623,2.10029059588733e-06,1.89407699654674,5.39276337586137,2.6023633469072e-07,17,7
nn__HAR_M__log__rolling,Neural Network,HAR+Macro,individual,0.665151362569312,-0.267226046881659,155,0.094330453886374,2.37761756828222,0.0186684806204791,0.348469580511424,4.6499767684413,7.15779924150937e-06,18,18
nn__HAR_O__log__rolling,Neural Network,HAR+Option,individual,0.366380957932512,-1.96678642547406,155,0.148572127222944,3.90036227728647,0.00014380984546208,0.218523490265758,4.49379113912498,1.37811401487062e-05,19,9
combo_equal_weight_har_m_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Macro,infoset_EW,0.547933189522625,-0.0266733313570758,155,-0.444094583287473,-3.09442570129645,0.00234774237463236,0.962362569473628,4.28351451227654,3.24872055770679e-05,20,13
rf__HAR_M__log__rolling,Random Forest,HAR+Macro,individual,0.753358499103978,-0.129304367337175,155,0.0997289144707581,2.41358911356142,0.0169857962991743,0.674459256082173,3.53971973541012,0.000531819380000772,21,16
combo_equal_weight_har_across_ml_har_augmented_log_rolling,Equal Weight,HAR,infoset_EW,0.190531626487232,0.00290856204340506,155,-1.3575673272331,-3.15273220949967,0.00194918643352966,1.68353920644484,3.51169849543178,0.000586421838276834,22,12
enet__HAR__log__rolling,Elastic Net,HAR,individual,0.377059663119131,-0.0141432580752053,155,-1.45599691115121,-2.03472552933655,0.0436165628775771,2.13248004458709,2.24554471962011,0.0261754798527335,23,19
pca__HAR_M__log__rolling,PCA,HAR+Macro,individual,-0.493913882595978,-0.0216830420665186,155,1.3076072482539,2.45301785275884,0.0152970663487882,-0.938612354475199,-2.18082840883957,0.030733588652712,24,15
nn__HAR__log__rolling,Neural Network,HAR,individual,-1.86214603697564,-0.0438781027967987,155,0.567652899541248,1.95932526010227,0.0519042325927089,-0.244448780413858,-1.46142765443739,0.145962337863535,25,20
enet__HAR_M__log__rolling,Elastic Net,HAR+Macro,individual,0.00117596642688833,-0.00266470045586198,155,-0.554288965257347,-0.805362202327257,0.421868739570839,0.702449136575971,1.02268564403021,0.308081386766127,26,24
pca__HAR__log__rolling,PCA,HAR,individual,0,0,155,0.14835847959667,3.67127423126375,0.000332920758406065,,,,,11
