rank,model_group,model,information_set,strategy_type,strategy_category,sharpe_net,ceq_gain_vs_always_short_gamma3_annualized,max_drawdown_diff_vs_always_short,pct_months_traded,avg_turnover,annualized_mean_return_net,max_drawdown,worst_monthly_return,hit_ratio
39,Stacked,Stacked Elastic Net,Multiple,scaled_long_short,scaled,2.20333129632353,-0.346169481438124,1.24626969697637,0.845161290322581,0.238894189247344,2.46752415321015,-2.21674924118119,-1.23379630045065,0.916129032258065
40,Benchmark,OLS HAR,HAR,short_only_exit_when_negative,short_vol_risk_control,2.84741563962602,-0.392594881489661,0,0.954838709677419,0.0838709677419355,4.79691949554416,-3.46301893815756,-2.78845802651901,0.87741935483871
41,ML,PCA,HAR,short_only_exit_when_negative,short_vol_risk_control,2.84741563962602,-0.392594881489661,0,0.954838709677419,0.0838709677419355,4.79691949554416,-3.46301893815756,-2.78845802651901,0.87741935483871
42,ML,PCA,HAR+Option,short_only_exit_when_negative,short_vol_risk_control,2.84543245831575,-0.394990059727749,0,0.954838709677419,0.0709677419354839,4.79235960928506,-3.46301893815756,-2.78845802651901,0.87741935483871
43,ML,Random Forest,HAR,scaled_short_only,scaled_short_vol_risk_control,2.08429158813442,-0.399017623642133,1.94152382994598,0.825806451612903,0.232167390652916,2.19117034341572,-1.52149510821159,-1.23379630045065,0.903225806451613
44,Combination,Equal Weight,HAR+Macro+Option,scaled_long_short,scaled,2.13801107486421,-0.407356367653779,1.24649288377496,0.845161290322581,0.274722280636752,2.37317350689928,-2.2165260543826,-1.23379630045065,0.883870967741936
45,ML,Random Forest,HAR+Macro,scaled_short_only,scaled_short_vol_risk_control,2.02589663451796,-0.448836054446915,1.94142438488816,0.735483870967742,0.228613731113722,2.10870687939676,-1.5215945532694,-1.23379630045065,0.825806451612903
46,ML,PCA,HAR+Macro,short_only_exit_when_negative,short_vol_risk_control,2.810652631437,-0.456754470750949,0,0.948387096774194,0.0580645161290323,4.73777418180393,-3.46301893815756,-2.78845802651901,0.870967741935484
47,ML,PCA,HAR+Macro+Option,short_only_exit_when_negative,short_vol_risk_control,2.810652631437,-0.456754470750949,0,0.948387096774194,0.0580645161290323,4.73777418180393,-3.46301893815756,-2.78845802651901,0.870967741935484
48,Combination,PCA EW,Multiple,short_only_exit_when_negative,short_vol_risk_control,2.810652631437,-0.456754470750949,0,0.948387096774194,0.0580645161290323,4.73777418180393,-3.46301893815756,-2.78845802651901,0.870967741935484
49,ML,Neural Network,HAR,short_only_exit_when_negative,short_vol_risk_control,2.8099074566305,-0.468704952688503,0,0.941935483870968,0.109677419354839,4.74984910314967,-3.46301893815756,-2.78845802651901,0.864516129032258
50,Combination,Equal Weight,Multiple,scaled_short_only,scaled_short_vol_risk_control,1.92046966282442,-0.47116639294146,1.94054351099438,0.819354838709677,0.233458645403946,1.84366715782024,-1.52247542716318,-1.23379630045065,0.896774193548387
51,ML,Random Forest,HAR,scaled_long_short,scaled,2.02666311991475,-0.474075092146043,1.94152382994598,0.845161290322581,0.243608868154642,2.15618087244151,-1.52149510821159,-1.23379630045065,0.903225806451613
52,ML,Elastic Net,HAR+Option,short_only_threshold_half_sd,short_vol_risk_control,2.31349144223717,-0.482372851218722,1.63671764599934,0.580645161290323,0.270967741935484,3.0399241637039,-1.82630129215822,-1.82630129215822,0.92258064516129
53,ML,Elastic Net,HAR+Option,threshold_half_sd_long_short,long_short_threshold,2.31349144223717,-0.482372851218722,1.63671764599934,0.580645161290323,0.270967741935484,3.0399241637039,-1.82630129215822,-1.82630129215822,0.92258064516129
54,Combination,Equal Weight,HAR+Macro,scaled_short_only,scaled_short_vol_risk_control,1.82117182712082,-0.485660255312801,1.94048098122255,0.780645161290323,0.229531908858645,1.58974745541067,-1.52253795693501,-1.23379630045065,0.870967741935484
55,ML,Random Forest,HAR+Macro+Option,short_only_threshold_half_sd,short_vol_risk_control,2.18137023346471,-0.497138637830425,1.94189722587977,0.503225806451613,0.258064516129032,2.65149221439098,-1.52112171227779,-1.23379630045065,0.916129032258065
56,ML,Random Forest,HAR+Macro+Option,threshold_half_sd_long_short,long_short_threshold,2.18137023346471,-0.497138637830425,1.94189722587977,0.503225806451613,0.258064516129032,2.65149221439098,-1.52112171227779,-1.23379630045065,0.916129032258065
57,Combination,Neural Network EW,Multiple,scaled_short_only,scaled_short_vol_risk_control,1.95679139157833,-0.509782852762149,1.83610062639916,0.761290322580645,0.284493691626695,2.01811320533605,-1.6269183117584,-1.23379630045065,0.832258064516129
58,Combination,Equal Weight,HAR+Option,scaled_short_only,scaled_short_vol_risk_control,2.11572778623875,-0.527114190719212,1.91644250013898,0.806451612903226,0.245939205484798,2.50050811076236,-1.54657643801858,-1.23379630045065,0.883870967741936
59,ML,Random Forest,HAR,binary_timing,long_short,2.80711551164317,-0.54692569856063,0,1,0.0838709677419355,4.83438059159551,-3.46301893815756,-2.78845802651901,0.903225806451613
60,Combination,Equal Weight,HAR+Macro+Option,short_only_threshold_half_sd,short_vol_risk_control,2.12194462971875,-0.557681782739046,1.94089722587977,0.47741935483871,0.32258064516129,2.56286509647032,-1.52212171227779,-1.23379630045065,0.883870967741936
61,ML,Elastic Net,HAR,short_only_exit_when_negative,short_vol_risk_control,2.7436640335162,-0.577823699940741,0,0.935483870967742,0.0580645161290323,4.63449916375459,-3.46301893815756,-2.78845802651901,0.858064516129032
62,Stacked,Stacked Random Forest,Multiple,short_only_threshold_half_sd,short_vol_risk_control,2.11318866549076,-0.580391935706689,1.93989722587977,0.490322580645161,0.270967741935484,2.56913643257992,-1.52312171227779,-1.23379630045065,0.916129032258065
63,Stacked,Stacked Random Forest,Multiple,threshold_half_sd_long_short,long_short_threshold,2.11318866549076,-0.580391935706689,1.93989722587977,0.490322580645161,0.270967741935484,2.56913643257992,-1.52312171227779,-1.23379630045065,0.916129032258065
64,Combination,Elastic Net EW,Multiple,scaled_short_only,scaled_short_vol_risk_control,1.7252972044365,-0.609652931181855,1.94046650874534,0.825806451612903,0.205841758451709,1.57873701323922,-1.52255242941222,-1.23379630045065,0.903225806451613
65,Combination,Equal Weight,Multiple,scaled_long_short,scaled,1.80630308846269,-0.612507190568674,1.24629352621641,0.845161290322581,0.247525079869163,1.78542196069985,-2.21672541194115,-1.23379630045065,0.896774193548387
66,Combination,Equal Weight,HAR+Macro,scaled_long_short,scaled,1.65342318699163,-0.669650754951262,1.24623099644459,0.845161290322581,0.260747575503913,1.50416450629786,-2.21678794171297,-1.23379630045065,0.870967741935484
67,ML,Elastic Net,HAR,scaled_short_only,scaled_short_vol_risk_control,1.54564914244742,-0.671313240378634,1.94033659308358,0.780645161290323,0.199685635562127,1.26359016883571,-1.52268234507399,-1.23379630045065,0.858064516129032
68,ML,PCA,HAR+Option,scaled_short_only,scaled_short_vol_risk_control,1.62101678767356,-0.675181799418945,1.94035917822951,0.8,0.185278833830906,1.43856007704809,-1.52265975992805,-1.23379630045065,0.87741935483871
69,Combination,Elastic Net EW,Multiple,binary_timing,long_short,2.74442121794433,-0.692361193390128,7.105427357601e-15,1,0.0838709677419355,4.76845916502177,-3.46301893815755,-2.78845802651901,0.903225806451613
70,Combination,Neural Network EW,Multiple,short_only_exit_when_negative,short_vol_risk_control,2.68828021004195,-0.699012019165292,0,0.909677419354839,0.187096774193548,4.57194735362853,-3.46301893815756,-2.78845802651901,0.832258064516129
71,Combination,Equal Weight,HAR+Macro+Option,threshold_half_sd_long_short,long_short_threshold,2.03562320954895,-0.702197050453244,1.2466472411018,0.483870967741936,0.335483870967742,2.50903929119719,-2.21637169705576,-1.23379630045065,0.883870967741936
72,Stacked,Stacked Elastic Net,Multiple,short_only_threshold_half_sd,short_vol_risk_control,1.99055220905901,-0.704038011165585,1.94089722587977,0.464516129032258,0.296774193548387,2.38902314912683,-1.52212171227779,-1.23379630045065,0.916129032258065
73,ML,Neural Network,HAR+Macro+Option,short_only_threshold_half_sd,short_vol_risk_control,1.93932865005669,-0.710965738337641,1.94189722587977,0.438709677419355,0.335483870967742,2.26185401790364,-1.52112171227779,-1.23379630045065,0.8
74,ML,Random Forest,HAR+Macro,scaled_long_short,scaled,1.85168806920865,-0.733291772466921,1.94142438488816,0.845161290322581,0.282048472537685,2.06547170209744,-1.5215945532694,-1.23379630045065,0.825806451612903
75,ML,Neural Network,HAR+Option,scaled_short_only,scaled_short_vol_risk_control,1.61723999695069,-0.739931376046105,2.22790879167696,0.696774193548387,0.268528029177309,1.52332810767552,-1.2351101464806,-1.23479630045065,0.787096774193548
76,Combination,Elastic Net EW,Multiple,scaled_long_short,scaled,1.61101866507312,-0.747799330859033,1.24621652396737,0.845161290322581,0.219927788286177,1.52012547261257,-2.21680241419019,-1.23379630045065,0.903225806451613
77,ML,PCA,HAR+Macro+Option,scaled_short_only,scaled_short_vol_risk_control,1.58525596238511,-0.755770571936068,1.94046991370112,0.793548387096774,0.184364475815676,1.47468199568113,-1.52254902445644,-1.23379630045065,0.870967741935484
78,Combination,Random Forest EW,Multiple,short_only_threshold_half_sd,short_vol_risk_control,1.92991855730349,-0.757060124909528,1.94189722587977,0.451612903225806,0.296774193548387,2.29318986447925,-1.52112171227779,-1.23379630045065,0.909677419354839
79,Combination,Random Forest EW,Multiple,threshold_half_sd_long_short,long_short_threshold,1.92991855730349,-0.757060124909528,1.94189722587977,0.451612903225806,0.296774193548387,2.29318986447925,-1.52112171227779,-1.23379630045065,0.909677419354839
80,Combination,Equal Weight,HAR,scaled_short_only,scaled_short_vol_risk_control,1.45050266690418,-0.767572523739207,1.94042950162228,0.819354838709677,0.195136519006838,1.21185101136834,-1.52258943653528,-1.23379630045065,0.896774193548387
81,Benchmark,OLS HAR,HAR,scaled_short_only,scaled_short_vol_risk_control,1.3913743641749,-0.77396204913685,1.94033951888865,0.8,0.177019967582807,1.10566351575766,-1.52267941926891,-1.23379630045065,0.87741935483871
82,ML,PCA,HAR,scaled_short_only,scaled_short_vol_risk_control,1.3913743641749,-0.77396204913685,1.94033951888865,0.8,0.177019967582807,1.10566351575766,-1.52267941926891,-1.23379630045065,0.87741935483871
83,ML,Elastic Net,HAR+Macro,scaled_short_only,scaled_short_vol_risk_control,1.40541470106742,-0.778579729480436,1.94035528428435,0.812903225806452,0.178706583333699,1.13894318095199,-1.52266365387321,-1.23379630045065,0.890322580645161
84,Combination,PCA EW,Multiple,scaled_short_only,scaled_short_vol_risk_control,1.45913683509691,-0.778705083954022,1.94039316592336,0.793548387096774,0.174832288034968,1.24401474245614,-1.5226257722342,-1.23379630045065,0.870967741935484
85,ML,Random Forest,HAR+Option,short_only_threshold_half_sd,short_vol_risk_control,2.1005692484388,-0.786935660461996,1.93989722587977,0.541935483870968,0.283870967741936,2.78811253254832,-1.52312171227779,-1.51305413406439,0.92258064516129
86,ML,Random Forest,HAR+Option,threshold_half_sd_long_short,long_short_threshold,2.1005692484388,-0.786935660461996,1.93989722587977,0.541935483870968,0.283870967741936,2.78811253254832,-1.52312171227779,-1.51305413406439,0.92258064516129
87,Combination,Equal Weight,HAR,binary_timing,long_short,2.70244405447659,-0.791330839573271,0,1,0.109677419354839,4.72338081539827,-3.46301893815756,-2.78845802651901,0.896774193548387
88,ML,Elastic Net,HAR+Option,short_only_threshold_one_sd,short_vol_risk_control,1.65055106895697,-0.798273965225119,2.42122389933726,0.309677419354839,0.245161290322581,1.67036544056957,-1.0417950388203,-1.0417950388203,0.92258064516129
89,ML,Elastic Net,HAR+Option,threshold_one_sd_long_short,long_short_threshold,1.65055106895697,-0.798273965225119,2.42122389933726,0.309677419354839,0.245161290322581,1.67036544056957,-1.0417950388203,-1.0417950388203,0.92258064516129
90,Combination,Equal Weight,HAR+Macro,binary_timing,long_short,2.69117425739635,-0.817552782310995,0,1,0.238709677419355,4.71055239587155,-3.46301893815756,-2.78845802651901,0.870967741935484
91,ML,Elastic Net,HAR,scaled_long_short,scaled,1.40464082355429,-0.821413424144046,1.24608660830561,0.845161290322581,0.21622375928588,1.19296145909335,-2.21693232985195,-1.23379630045065,0.858064516129032
92,ML,PCA,HAR+Option,scaled_long_short,scaled,1.49289523160972,-0.825611440674059,1.24610919345154,0.845161290322581,0.202349200732697,1.36999716856716,-2.21690974470602,-1.23379630045065,0.87741935483871
93,Combination,Equal Weight,HAR+Option,scaled_long_short,scaled,1.92668955962747,-0.829015386531702,1.91644250013898,0.845161290322581,0.295711644650338,2.36663793199206,-1.54657643801858,-1.23379630045065,0.883870967741936
94,Stacked,Stacked Elastic Net,Multiple,threshold_half_sd_long_short,long_short_threshold,1.90711000599984,-0.846198792946452,1.2466472411018,0.470967741935484,0.309677419354839,2.3351973438537,-2.21637169705576,-1.23379630045065,0.916129032258065
95,ML,PCA,HAR+Macro,scaled_short_only,scaled_short_vol_risk_control,1.33088485004683,-0.849202025206968,1.94041930703882,0.793548387096774,0.171577534716557,1.09075767455697,-1.52259963111874,-1.23379630045065,0.870967741935484
96,ML,Elastic Net,HAR+Macro+Option,scaled_short_only,scaled_short_vol_risk_control,1.55172006188324,-0.856437127538879,1.84920235325737,0.812903225806452,0.210013594261391,1.52526898158163,-1.61381658490019,-1.23379630045065,0.890322580645161
97,Combination,Equal Weight,Multiple,binary_timing,long_short,2.67153882803429,-0.864928376872696,0,1,0.109677419354839,4.68961386474579,-3.46301893815756,-2.78845802651901,0.896774193548387
