rolling_window_months,forecast_id,model,information_set,forecast_type,n,squared_error_gain_vs_har,dm_stat_model_minus_har,dm_p_two_sided,dm_p_one_sided_model_better,se_dm_sig
120,stacked_enet_on_har_augmented_forecasts_log_rolling,Stacked Elastic Net,Multiple,stacked,155,0.0100569627977229,-1.03066799616073,0.302696537664674,0.151348268832337,""
120,stacked_rf_on_har_augmented_forecasts_log_rolling,Stacked Random Forest,Multiple,stacked,155,0.0110044384944463,-1.01707877149231,0.30911595811405,0.154557979057025,""
180,pca__HAR__log__rolling,PCA,HAR,individual,182,0,,,,""
180,pca__HAR_O__log__rolling,PCA,HAR+Option,individual,176,0.000151017355940451,-0.41866424868734,0.675461527365777,0.337730763682889,""
180,pca__HAR_M__log__rolling,PCA,HAR+Macro,individual,156,-0.000324430191812593,1.14383296578836,0.252692915515014,0.873653542242493,""
180,pca__HAR_OM__log__rolling,PCA,HAR+Macro+Option,individual,156,6.0678655244696e-05,-0.240208142421277,0.810168901714184,0.405084450857092,""
180,enet__HAR__log__rolling,Elastic Net,HAR,individual,182,0.00029292435154216,-1.00189173654773,0.316395884068977,0.158197942034489,""
180,enet__HAR_O__log__rolling,Elastic Net,HAR+Option,individual,176,0.00236067261289501,-1.52061414653162,0.128356694667966,0.064178347333983,*
180,enet__HAR_M__log__rolling,Elastic Net,HAR+Macro,individual,156,5.1299182155907e-05,-1.4612607732607,0.143943890539577,0.0719719452697883,*
180,enet__HAR_OM__log__rolling,Elastic Net,HAR+Macro+Option,individual,156,0.00155777723240073,-1.35495088206946,0.175433206757601,0.0877166033788003,*
180,rf__HAR__log__rolling,Random Forest,HAR,individual,182,0.00133469189650227,-0.982200775320239,0.326000945709916,0.163000472854958,""
180,rf__HAR_O__log__rolling,Random Forest,HAR+Option,individual,176,0.00206043982357966,-1.49061434402134,0.136062776165034,0.0680313880825168,*
180,rf__HAR_M__log__rolling,Random Forest,HAR+Macro,individual,156,0.00111681474581429,-0.70245730463436,0.482394019005129,0.241197009502564,""
180,rf__HAR_OM__log__rolling,Random Forest,HAR+Macro+Option,individual,156,0.00194099692775669,-1.23281649745662,0.217644234863919,0.10882211743196,""
180,nn__HAR__log__rolling,Neural Network,HAR,individual,182,0.00139614296246552,-1.0247780567659,0.30546792247599,0.152733961237995,""
180,nn__HAR_O__log__rolling,Neural Network,HAR+Option,individual,176,-0.00674125541776572,1.76087723298898,0.0782591841132502,0.960870407943375,""
180,nn__HAR_M__log__rolling,Neural Network,HAR+Macro,individual,156,-0.000667280455885268,0.441236858020853,0.659041532397566,0.670479233801217,""
180,nn__HAR_OM__log__rolling,Neural Network,HAR+Macro+Option,individual,156,0.000872061538052924,-0.479228010153817,0.631776429699798,0.315888214849899,""
180,ew_method__pca__rolling180,PCA EW,Multiple,method_EW,156,2.38204612208817e-05,-0.112351966255933,0.91054433948008,0.45527216974004,""
180,ew_method__enet__rolling180,Elastic Net EW,Multiple,method_EW,156,0.00187195148923399,-1.56200887666947,0.118285897725778,0.0591429488628888,*
180,ew_method__rf__rolling180,Random Forest EW,Multiple,method_EW,156,0.00190945489752794,-1.2190289942713,0.222833187936207,0.111416593968103,""
180,ew_method__nn__rolling180,Neural Network EW,Multiple,method_EW,156,0.00122697257742528,-0.724374982527355,0.46883555445027,0.234417777225135,""
180,ew_infoset__HAR__rolling180,Equal Weight,HAR,infoset_EW,182,0.00116012119330905,-1.09896902342652,0.271781577605072,0.135890788802536,""
180,ew_infoset__HAR_O__rolling180,Equal Weight,HAR+Option,infoset_EW,176,0.00176721183344522,-1.08762516492331,0.276760616716248,0.138380308358124,""
180,ew_infoset__HAR_M__rolling180,Equal Weight,HAR+Macro,infoset_EW,156,0.00085525979296847,-0.866112822867182,0.38642829392747,0.193214146963735,""
180,ew_infoset__HAR_OM__rolling180,Equal Weight,HAR+Macro+Option,infoset_EW,156,0.00180265798773042,-1.33262185718148,0.182655928676133,0.0913279643380665,*
180,ew_all_ml__rolling180,Equal Weight,Multiple,all_EW,156,0.00182176950439868,-1.37812660541393,0.168164202520119,0.0840821012600596,*
180,stacked_enet__ALL_ML__log__rolling,Stacked Elastic Net,Multiple,stacked,146,0.0023130294306232,-1.36024392411792,0.173752747012001,0.0868763735060007,*
180,stacked_rf__ALL_ML__log__rolling,Stacked Random Forest,Multiple,stacked,146,0.00192422774150763,-1.12810720135627,0.259274648211594,0.129637324105797,""
